ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais. 
IHFA Carteira Teórica 
Validade da Carteira Teórica: 01/10/2020 a 31/12/2020
Data Início;Data Final;Fundo;CNPJ;Quantidade Teórica;Cota dos Fundos em 30/09/2020;Patrimônio Líquido em 30/09/2020 (R$ milhões);Participação Relativa (%)
01/10/2020;31/12/2020;IBIUNA LONG SHORT STLS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.391.138/0001-24;0,0578;220,585425;558,84;0,34
01/10/2020;31/12/2020;INFINITY HEDGE  FUNDO DE INVESTIMENTO MULTIMERCADO;23.000.848/0001-16;1,6556;1,657402;120,24;0,07
01/10/2020;31/12/2020;ITAÚ DISTRIBUIDORES HEDGE PLUS II MULTIMERCADO FICFI;29.993.583/0001-80;0,2393;13,906695;145,83;0,09
01/10/2020;31/12/2020;ITAÚ DISTRIBUIDORES HEDGE PLUS MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO;11.419.940/0001-36;0,2735;41,016054;491,54;0,30
01/10/2020;31/12/2020;ITAÚ EQUITY HEDGE MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;06.170.624/0001-33;0,0425;63,467128;118,19;0,07
01/10/2020;31/12/2020;ITAÚ HEDGE PLUS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;17.419.592/0001-83;0,7733;29,896677;1.013,10;0,62
01/10/2020;31/12/2020;ITAÚ HEDGE PLUS VÉRTICE MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;11.960.233/0001-52;1,3365;36,469992;2.135,91;1,30
01/10/2020;31/12/2020;ITAÚ LONG AND SHORT 30 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;17.412.175/0001-09;0,1776;21,084674;164,14;0,10
01/10/2020;31/12/2020;ITAÚ LONG BIAS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;29.259.742/0001-18;0,5752;9,711977;244,79;0,15
01/10/2020;31/12/2020;ITAÚ MULTIMERCADO LONG AND SHORT 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;17.420.064/0001-44;0,2058;20,271311;182,78;0,11
01/10/2020;31/12/2020;ITAÚ PERSONNALITÉ HEDGE PLUS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;28.075.485/0001-00;2,9776;15,659819;2.043,30;1,24
01/10/2020;31/12/2020;ITAÚ PRIVATE HEDGE PLUS MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;11.390.053/0001-82;0,2623;41,219552;473,69;0,29
01/10/2020;31/12/2020;ITAÚ PRIVATE LONG AND SHORT PLUS MULTIMERCADO  FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO;17.329.579/0001-33;0,1703;23,819080;177,73;0,11
01/10/2020;31/12/2020;ITAÚ PRIVATE LONG BIAS MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;31.341.378/0001-82;0,4277;9,102317;170,60;0,10
01/10/2020;31/12/2020;ITAÚ VEGA HP MULTIMERCADO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;11.863.242/0001-25;0,2175;41,139966;392,04;0,24
01/10/2020;31/12/2020;JGP EQUITY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.143.318/0001-04;0,0147;801,363171;516,76;0,31
01/10/2020;31/12/2020;JGP WM OPT FI EM COTAS DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;20.485.412/0001-76;2,6045;1,683951;192,19;0,12
01/10/2020;31/12/2020;KADIMA HIGH VOL FUNDO DE INVESTIMENTO MULTIMERCADO;14.146.496/0001-10;6,8316;3,441175;1.030,16;0,63
01/10/2020;31/12/2020;KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.441.308/0001-47;3,8693;3,718312;630,46;0,38
01/10/2020;31/12/2020;KAIRÓS MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;32.318.799/0001-55;0,0591;102,451787;265,20;0,16
01/10/2020;31/12/2020;KAPITALO APOLLINHO III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.633.374/0001-66;3,6779;0,975104;157,15;0,10
01/10/2020;31/12/2020;KAPITALO CGI ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.247.845/0001-00;3,7699;1,023613;169,10;0,10
01/10/2020;31/12/2020;KAPITALO K10 FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;29.726.133/0001-21;6,7658;1,205087;357,29;0,22
01/10/2020;31/12/2020;KAPITALO KZTP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.248.306/0001-95;5,0400;1,024664;226,30;0,14
01/10/2020;31/12/2020;KAPITALO PWM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25.423.269/0001-01;2,0869;1,447319;132,35;0,08
01/10/2020;31/12/2020;KAPITALO Z VOLANS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;20.008.080/0001-39;1,0163;2,300235;102,44;0,06
01/10/2020;31/12/2020;KAPITALO ZETA A FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;20.270.180/0001-39;20,7498;3,740234;3.400,86;2,07
01/10/2020;31/12/2020;KAPITALO ZETA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.521.581/0001-78;5,4008;1,036499;245,30;0,15
01/10/2020;31/12/2020;KAPITALO ZETA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;12.105.992/0001-09;9,7551;3,735623;1.596,88;0,97
01/10/2020;31/12/2020;KAPITALO ZETA RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.879.995/0001-69;6,0192;1,323499;349,09;0,21
01/10/2020;31/12/2020;KAPITALO ZEVA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.081.827/0001-19;1,8264;3,578197;286,37;0,17
01/10/2020;31/12/2020;KINEA ATLAS FUNDO DE INVESTIMENTO MULTIMERCADO;26.218.403/0001-03;19,0715;1,516084;1.267,02;0,77
01/10/2020;31/12/2020;KINEA ATLAS II FUNDO DE INVESTIMENTO MULTIMERCADO;29.762.315/0001-58;41,1231;1,517010;2.733,70;1,66
01/10/2020;31/12/2020;KINEA CHRONOS FUNDO DE INVESTIMENTO MULTIMERCADO;21.624.757/0001-26;96,8772;1,775571;7.537,66;4,58
01/10/2020;31/12/2020;KINEA PREV II XTR XP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.320.644/0001-53;0,8257;10,043048;363,38;0,22
01/10/2020;31/12/2020;KINEA TLS FUNDO DE INVESTIMENTO MULTIMERCADO;31.570.019/0001-05;4,6614;1,082992;221,22;0,13
01/10/2020;31/12/2020;LEGACY CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.566.221/0001-92;34,0636;1,277212;1.906,47;1,16
